Step,Bus_Avg_Wait,Bus_Avg_Speed,Bus_Count,Other_Avg_Wait,Other_Avg_Speed,Other_Count,All_Avg_Wait,All_Avg_Speed,All_Count,Avg_Queue_Length
0,0,0,0,0,0,0,0,0,0,0
5,0.0,3.3167444152710956,5,0.0,4.804316634280719,13,0.0,4.391102129000268,18,1.0
10,0.0,8.42187461193385,7,0.0,8.209941040655332,23,0.0,8.259392207286984,30,1.0
15,0.0,11.572061200620375,8,0.0,9.914915500335724,33,0.0,10.23826100283029,41,1.0
20,0.0,13.189006983003347,8,0.0,10.006761734681445,45,0.0,10.487100640088524,53,1.0
25,0.0,11.564366174456838,8,0.0,10.471525604580293,57,0.0,10.606029059334329,65,1.0
30,0.0,5.615594058714538,8,0.0,10.564700647609875,69,0.0,10.050507755257113,77,1.2
35,0.625,2.2711979097803554,8,0.08860759493670886,10.778030381121209,79,0.13793103448275862,9.995792912492165,87,1.6666666666666667
40,1.625,1.7046002690631894,8,0.23333333333333334,10.253455560113897,90,0.3469387755102041,9.555589822068942,98,2.0
45,2.875,0.9202872746571666,8,0.3627450980392157,9.994064509986128,102,0.5454545454545454,9.33415343832584,110,2.0
50,4.125,3.206134632421891,8,0.6491228070175439,9.63999322775018,114,0.8770491803278688,9.218100860843407,122,1.4545454545454546
55,5.0,6.368280923167875,8,0.8870967741935484,9.581342989431207,124,1.1363636363636365,9.386611955112215,132,1.4
60,5.875,6.074369794585969,8,1.3985507246376812,8.751525119524315,138,1.643835616438356,8.604831677061938,146,1.7857142857142858
65,6.0,5.4758158271405,9,1.7086092715231789,9.363936926747451,151,1.95,9.14523011489456,160,1.25
70,7.111111111111111,5.470918496762105,9,2.006060606060606,9.013984052866224,165,2.2701149425287355,8.830722041343597,174,1.4
75,8.222222222222221,3.259230225915724,9,2.3699421965317917,9.33650225564864,173,2.659340659340659,9.03597781461789,182,1.7142857142857142
80,9.333333333333334,1.4743393063814454,9,2.8702702702702703,8.770258360096957,185,3.170103092783505,8.431787888532835,194,2.0526315789473686
